Listing Directory...
55.csv	607
0.csv	76028
1.csv	7863
2.csv	12292
3.csv	26924
4.csv	2277
5.csv	7997
6.csv	630
7.csv	6267
8.csv	11603
9.csv	7619
10.csv	89832
11.csv	15704
12.csv	42638
13.csv	27938
14.csv	17017
15.csv	13455
16.csv	33549
17.csv	53871
18.csv	145191
19.csv	20244
20.csv	27912
21.csv	132800
22.csv	36128
23.csv	1759
24.csv	7335
25.csv	35149
26.csv	89738
27.csv	7226
28.csv	13579
29.csv	339101
30.csv	211244
31.csv	1410
32.csv	256
Input file name...
18.csv
CG5,49,2000,2403,15.163857,102.617000,13427.21,0.000000,0.000000,0.00,12539.21,22.98,5.35,176.58,12545.40,13.88,14.27,176.40,13.56,13.40
CG5,50,2000,2403,15.163693,102.616970,13436.60,0.000000,0.000000,0.00,12549.69,22.95,5.41,176.27,12555.49,13.89,14.27,176.10,13.56,13.44
CG5,51,2000,2403,15.163509,102.616940,13443.60,0.000000,0.000000,0.00,12555.86,22.91,5.27,176.09,12561.37,13.83,14.22,175.93,13.56,13.40
CG5,52,2000,2403,15.163314,102.616870,13451.96,0.000000,0.000000,0.00,12563.44,22.88,5.33,175.87,12570.64,13.82,14.27,175.66,13.50,13.44
CG5,53,2000,2403,15.163116,102.616810,13463.17,0.000000,0.000000,0.00,12573.54,22.85,5.30,175.58,12580.48,13.79,14.24,175.38,13.50,13.44
CG5,54,2001,2403,15.162875,102.616740,13474.83,0.000000,0.000000,0.00,12582.95,22.83,5.36,175.30,12593.79,13.74,14.32,174.99,13.44,13.48
CG5,55,2782,2403,15.162587,102.616630,13487.66,0.000000,0.000000,0.00,12594.35,22.79,5.39,174.97,12604.37,13.71,14.39,174.68,13.38,13.46
CG5,56,1220,2403,15.162362,102.616530,13499.05,0.000000,0.000000,0.00,12602.21,22.79,5.32,174.75,12853.67,3.65,14.89,171.37,13.38,13.42
CG5,57,2780,2403,15.162065,102.616440,13514.67,0.000000,0.000000,0.00,12618.41,22.76,5.32,174.28,12628.97,13.66,14.46,173.97,13.31,13.44
CG5,58,1219,2403,15.161840,102.616400,13527.47,0.000000,0.000000,0.00,12630.75,22.56,5.62,173.92,12812.82,-4.46,15.25,168.74,13.31,13.44
CG5,59,2714,2403,15.161648,102.616350,13542.68,0.000000,0.000000,0.00,12647.23,22.69,5.40,173.45,12655.54,13.60,14.31,173.21,13.25,13.44
CG5,60,1286,2403,15.161451,102.616250,13559.06,0.000000,0.000000,0.00,12664.15,22.71,5.28,172.96,12670.27,13.60,14.13,172.78,13.25,13.40
CG5,61,1999,2403,15.161260,102.616100,13573.25,0.000000,0.000000,0.00,12674.94,22.62,5.20,172.65,12683.99,13.52,14.12,172.39,13.19,13.46
CG5,62,1999,2403,15.161072,102.615920,13585.08,0.000000,0.000000,0.00,12687.23,22.61,5.21,172.30,12695.97,13.48,14.19,172.05,13.13,13.46
CG5,63,2000,2403,15.160840,102.615740,13596.17,0.000000,0.000000,0.00,12696.00,22.58,5.15,172.05,12703.78,13.46,14.13,171.83,13.13,13.46
CG5,64,2000,2403,15.160595,102.615590,13607.97,0.000000,0.000000,0.00,12706.83,22.54,5.12,171.74,12717.53,13.42,14.08,171.43,13.06,13.44
CG5,65,2000,2403,15.160417,102.615430,13618.39,0.000000,0.000000,0.00,12715.95,22.51,5.08,171.48,12726.44,13.39,14.22,171.18,13.06,13.46
CG5,66,2000,2403,15.160233,102.615240,13631.06,0.000000,0.000000,0.00,12728.18,22.48,5.35,171.13,12738.17,13.33,14.31,170.85,13.00,13.40
CG5,67,2000,2403,15.160034,102.615070,13645.13,0.000000,0.000000,0.00,12741.82,22.45,5.23,170.74,12751.04,13.30,14.31,170.48,13.00,13.42
CG5,68,2000,2403,15.159824,102.614850,13658.84,0.000000,0.000000,0.00,12751.17,22.45,5.18,170.48,12760.08,13.27,14.30,170.22,12.94,13.44
CG5,69,2000,2403,15.159576,102.614670,13670.41,0.000000,0.000000,0.00,12762.89,22.42,5.13,170.15,12771.14,13.25,14.29,169.92,12.88,13.48
CG5,70,2001,2403,15.159331,102.614530,13683.71,0.000000,0.000000,0.00,12773.93,22.39,5.09,169.83,12783.64,13.21,14.27,169.56,12.88,13.48
CG5,71,2001,2403,15.159122,102.614410,13699.27,0.000000,0.000000,0.00,12791.51,22.36,5.23,169.34,12799.92,13.13,14.33,169.10,12.81,13.44
CG5,72,2001,2403,15.158939,102.614290,13715.61,0.000000,0.000000,0.00,12808.66,22.34,5.39,168.85,12815.56,13.10,14.40,168.66,12.75,13.48
CG5,73,2001,2403,15.158812,102.614140,13730.18,0.000000,0.000000,0.00,12824.03,22.30,5.30,168.42,12830.87,13.07,14.49,168.23,12.75,13.44
CG5,74,2714,2403,15.158718,102.613950,13742.04,0.000000,0.000000,0.00,12833.96,22.26,5.29,168.14,12843.59,13.03,14.42,167.87,12.69,13.44
CG5,75,1286,2403,15.158611,102.613800,13754.06,0.000000,0.000000,0.00,12840.89,22.25,5.25,167.95,13091.65,-11.41,15.51,161.04,12.69,13.40
